,author,title,description,url,urlToImage,publishedAt,content,status,totalResults,id,name
20,Christiaan Hetzner,‘Tolkien is turning in his grave’: Elon Musk stokes Bezos rivalry by bashing Amazon’s beta males in Rings of Power,Viewers on the left and right of the political spectrum are clashing over Jeff Bezos' $1.3 trillion dollar corporate behemoth.,https://fortune.com/2022/09/06/elon-musk-blasts-rings-of-power-on-twitter-stoking-jeff-bezos-rivalry-tolkien-turning-in-his-grave/,"https://content.fortune.com/wp-content/uploads/2022/09/GettyImages-1242720271-e1662480711150.jpg?resize=1200,600",2022-09-06T15:57:22Z,Elon Musk added himself to the chorus of critics hating on Amazon Studios lavish new action series The Rings of Power that is loosely based on J.R.R. Tolkiens Middle Earth.It cost a reported $1 billi… [+3258 chars],ok,326,fortune,Fortune
21,Clark Schultz,Tesla and GM are called potential winners from the new electric vehicle legislation,Wolfe Research said investors in the automobile sector need to take note of the recent passing of The Inflation Reduction Act. Read more.,https://seekingalpha.com/news/3880468-tesla-and-gm-are-called-potential-winners-from-the-new-electric-vehicle-legislation,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1369268936/image_1369268936.jpg?io=getty-c-w750,2022-09-06T14:54:51Z,"SouthWorks
Wolfe Research said investors in the automobile sector need to take note of the recent passing of The Inflation Reduction Act, which the firm said stands out as far and away the most cons… [+1265 chars]",ok,326,,Seeking Alpha
22,The Design Files,An Ultra-Sustainable Home On An ‘Undevelopable’ Melbourne Site,"The development of Hütt 01 Passive House started with a simple but profound question: how can we create better homes for a better planet?
Felicity and Marc Bernstein regularly asked themselves this question in their work as co-founders of Melbourne Design Stu…",https://thedesignfiles.net/2022/09/architecture-hutt-01-passive-house/,https://thedesignfiles.net/wp-content/uploads/2022/08/HuttHouse-tdf-THV1-520x684.jpg,2022-09-05T20:00:07Z,"It takes someone with exceptional vision to buy a compact triangular site wedged between a train line and laneway, and turn it into an inspiring home of the future.
This is the origin story of Hütt … [+3149 chars]",ok,326,,Thedesignfiles.net
23,Brian Wang,Multi-Fingered Active Grasp Learning,"This is a review of a 2020 academic paper about using learning systems to train robotics arms and hands to grasp objects. Learning-based approaches to grasp planning are preferred over analytical methods due to their ability to better generalize to new, parti…",https://www.nextbigfuture.com/2022/09/multi-fingered-active-grasp-learning.html,https://nextbigfuture.s3.amazonaws.com/uploads/2022/09/Screen-Shot-2022-09-06-at-10.40.01-AM.jpg,2022-09-06T17:43:46Z,"This is a review of a 2020 academic paper about using learning systems to train robotics arms and hands to grasp objects.
Learning-based approaches to grasp planning are preferred over analytical me… [+3746 chars]",ok,326,next-big-future,Next Big Future
24,Garth Franklin,Elon Musk Not A “Rings of Power” Fan,"Tesla founder Elon Musk has seemingly reignited his rivalry with Amazon founder Jeff Bezos, this time over Amazon’s costly new series “The Lord of the Rings: The Rings of Power.” The premiere of the first two episodes arrived on September 2nd on Prime Video, …",https://www.darkhorizons.com/elon-musk-not-a-rings-of-power-fan/,https://cdn.darkhorizons.com/wp-content/uploads/2022/09/elon-musk-not-a-rings-of-power-fan.jpg,2022-09-06T13:58:17Z,"Tesla founder Elon Musk has seemingly reignited his rivalry with Amazon founder Jeff Bezos, this time over Amazon’s costly new series “The Lord of the Rings: The Rings of Power.”
The premiere of the… [+1391 chars]",ok,326,,Dark Horizons
25,José Rodríguez Jr.,"The New Mini EV Cabrio Is a Rare Convertible Electric Car, And Possibly the Cutest EV","The best-selling EV in the world is going with the top down, after all. General Motor’s joint venture in China,...
The post The New Mini EV Cabrio Is a Rare Convertible Electric Car, And Possibly the Cutest EV appeared first on Gizmodo Australia.
  Related St…",https://www.gizmodo.com.au/2022/09/the-new-mini-ev-cabrio-is-a-rare-convertible-electric-car-and-possibly-the-cutest-ev/,"https://www.gizmodo.com.au/wp-content/uploads/sites/2/2022/09/01/25f4c65c35532fc66ce0cf4ed7c7cc79.jpg?quality=80&resize=1280,720",2022-09-04T02:00:21Z,"The best-selling EV in the world is going with the top down, after all. General Motors joint venture in China, SAIC-GM-Wuling, says the Mini EV Cabrio is going on to production, as Automotive News re… [+2421 chars]",ok,326,,Gizmodo Australia
26,Livemint,"Mint Explainer: Gigafactories, the building blocks of Ambani's clean-energy play",Gigafactory ecosystem of Reliance at Jamnagar will fill a crucial gap in India's clean-energy future.,https://www.livemint.com/opinion/online-views/mint-explainer-gigafactories-the-building-blocks-of-ambani-s-clean-energy-play-11662443300761.html,https://images.livemint.com/img/2022/09/06/600x338/a052c5cc-c1c8-11e9-ba69-51caec687ef7_1566150165200_1662444692434_1662444692434.jpg,2022-09-06T06:17:20Z,"Smokestacks belching out dark clouds have long been the symbol of factories. But, as the industrial revolution is about to make way for a new ""green industrial revolution"", factories would need to ge… [+6705 chars]",ok,326,,Livemint
27,Usman Kabir,Cathie Wood is Loading Up on These 10 Stocks,"In this article, we discuss the 10 stocks that Cathie Wood is loading up on. If you want to read about some more stocks in the Cathie Wood portfolio, go...",https://finance.yahoo.com/news/cathie-wood-loading-10-stocks-130352667.html,https://s.yimg.com/uu/api/res/1.2/VFIvepRv_dTLck0n.Amj_g--~B/aD02MDA7dz00NzM7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/insidermonkey.com/33ede3b2a4dafa7bc9d5d35b0755b9e1,2022-09-05T13:03:52Z,"In this article, we discuss the 10 stocks that Cathie Wood is loading up on. If you want to read about some more stocks in the Cathie Wood portfolio, go directly to Cathie Wood is Loading Up on These… [+12669 chars]",ok,326,,Yahoo Entertainment
28,Remeredzai Joseph Kuhudzai,South Africa’s Shoprite Group Now Has 1041 Trailers With Solar-Powered Refrigeration For Its Fleet,"The Shoprite Group, South Africa’s largest retailer by market capitalization, sales, profit, and number of employees and customers, continues to grow its solar-assisted fleet of trailers. The Group now has 903 trucks and 1,360 trailers. Of these, 1041 trailer…",https://cleantechnica.com/2022/09/06/south-africas-shoprite-group-now-has-1041-trailers-with-solar-powered-refrigeration-for-its-fleet/,https://cleantechnica.com/files/2022/09/solar-fleet-src-210319-0038.jpg,2022-09-06T16:00:38Z,"The Shoprite Group, South Africas largest retailer by market capitalization, sales, profit, and number of employees and customers, continues to grow its solar-assisted fleet of trailers. The Group no… [+4150 chars]",ok,326,,CleanTechnica
29,Trapping Value,"Digital Realty: Jim Chanos Will Be Right, Stick To The Preferred Shares",Digital Realty continued its aggressive growth and capex plans. Click here to read the bear case breakdown and why we are not attracted to this even at 52-week lows.,https://seekingalpha.com/article/4538935-digital-realty-stock-jim-chanos-right-stick-preferred-shares,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/883130172/image_883130172.jpg?io=getty-c-w750,2022-09-05T02:37:46Z,"frentusha/iStock via Getty Images
It is no fun to take the opposite of a popular trade. You generally get cat calls from the crowd and almost inevitably you never pick the exact top of the trend. Ta… [+6171 chars]",ok,326,,Seeking Alpha
